时间,电功率,反应堆功率,气轮机功率,压缩机功率,反应堆入口温度,反应堆出口温度,气轮机出口温度,压缩机入口温度,压缩机出口温度,流量,转速
600.0000000000001,0.40062047296556924,1.6006161593910548,1.363351344840562,0.9511312865273457,906.9137053438699,1200.3383797024132,966.2470589993616,339.7453981428191,501.301598765616,11.19999999462739,59999.99997121817
600.1000000000001,0.40062018284786477,1.6006160474898818,1.3633513573542537,0.9511315898014816,906.9137348312845,1200.3383907051248,966.2470678560717,339.7455097676925,501.30176347054476,11.199999994629536,59999.99997122966
600.2,0.40061989286424,1.6006159356589618,1.3633513698582802,0.951131892932278,906.9137643018599,1200.3384016993289,966.2470767059335,339.74562133981055,501.30192809763173,11.19999999463168,59999.99997124115
600.3000000000001,0.40061960301465993,1.600615823898253,1.36335138235267,0.9511321959197596,906.9137937556349,1200.3384126850501,966.2470855489672,339.7457328591823,501.30209264689034,11.199999994633822,59999.999971252626
600.4000000000001,0.4006193132990899,1.6006157122077145,1.3633513948374514,0.9511324987639513,906.913823192648,1200.3384236623137,966.2470943851929,339.74584432581685,501.30225711833407,11.199999994635963,59999.99997126409
600.5000000000001,0.40061902371749497,1.6006156005873042,1.363351407312653,0.9511328014648777,906.913852612938,1200.3384346311448,966.2471032146307,339.7459557397233,501.30242151197626,11.199999994638102,59999.999971275545
600.6000000000001,0.4006187342698403,1.6006154890369808,1.363351419778303,0.9511331040225636,906.9138820165434,1200.3384455915682,966.2471120373009,339.7460671009107,501.3025858278304,11.199999994640237,59999.99997128699
600.7,0.4006184449560911,1.6006153775567031,1.3633514322344298,0.9511334064370338,906.9139114035031,1200.3384565436088,966.2471208532235,339.7461784093881,501.30275006590983,11.199999994642372,59999.99997129843
600.8000000000001,0.4006181557762125,1.6006152661464297,1.3633514446810622,0.9511337087083129,906.9139407738554,1200.3384674872923,966.2471296624186,339.74628966516474,501.302914226228,11.199999994644504,59999.99997130985
600.9000000000001,0.4006178667301697,1.6006151548061185,1.363351457118228,0.9511340108364258,906.9139701276393,1200.338478422643,966.2471384649066,339.74640086824957,501.30307830879826,11.199999994646635,59999.99997132127
601.0000000000001,0.40061757781792784,1.6006150435357287,1.363351469545956,0.9511343128213972,906.9139994648933,1200.3384893496864,966.2471472607075,339.74651201865174,501.3032423136341,11.199999994648765,59999.999971332676
601.1000000000001,0.4006172890394521,1.6006149323352186,1.3633514819642747,0.9511346146632518,906.914028785656,1200.3385002684472,966.2471560498414,339.7466231163803,501.30340624074887,11.199999994650891,59999.99997134407
601.2,0.4006170003947076,1.6006148212045466,1.3633514943732121,0.9511349163620143,906.9140580899661,1200.3385111789507,966.2471648323285,339.74673416144435,501.30357009015603,11.199999994653018,59999.99997135546
601.3000000000001,0.4006167118836596,1.6006147101436714,1.363351506772797,0.9511352179177096,906.9140873778623,1200.338522081222,966.247173608189,339.74684515385303,501.303733861869,11.19999999465514,59999.99997136684
601.4000000000001,0.40061642350627313,1.6006145991525516,1.3633515191630579,0.9511355193303624,906.9141166493831,1200.338532975286,966.247182377443,339.7469560936154,501.30389755590113,11.199999994657263,59999.9999713782
601.5000000000001,0.4006161352625135,1.6006144882311453,1.3633515315440226,0.9511358205999974,906.9141459045675,1200.3385438611674,966.2471911401105,339.7470669807405,501.30406117226585,11.199999994659382,59999.99997138956
601.6000000000001,0.40061584715234577,1.6006143773794115,1.36335154391572,0.9511361217266393,906.9141751434537,1200.3385547388918,966.247199896212,339.7471778152375,501.30422471097654,11.199999994661502,59999.99997140091
601.7,0.40061555917573516,1.6006142665973087,1.3633515562781784,0.9511364227103128,906.9142043660806,1200.338565608484,966.2472086457674,339.74728859711536,501.3043881720467,11.199999994663619,59999.99997141225
601.8000000000001,0.40061527133264674,1.6006141558847953,1.3633515686314261,0.951136723551043,906.9142335724869,1200.338576469969,966.2472173887968,339.74739932638334,501.3045515554897,11.199999994665735,59999.99997142358
601.9000000000001,0.4006149836230458,1.6006140452418296,1.363351580975492,0.9511370242488542,906.9142627627111,1200.3385873233717,966.2472261253206,339.74751000305037,501.3047148613189,11.199999994667847,59999.9999714349
602.0000000000001,0.4006146960468975,1.6006139346683705,1.3633515933104037,0.9511373248037714,906.914291936792,1200.3385981687175,966.2472348553587,339.7476206271257,501.3048780895478,11.199999994669959,59999.99997144622
602.1000000000001,0.40061440860416686,1.6006138241643766,1.36335160563619,0.9511376252158192,906.9143210947682,1200.338609006031,966.2472435789314,339.7477311986182,501.3050412401897,11.199999994672071,59999.999971457524
602.2,0.4006141212948192,1.600613713729806,1.3633516179528795,0.9511379254850225,906.9143502366783,1200.3386198353376,966.2472522960587,339.7478417175372,501.3052043132581,11.19999999467418,59999.999971468824
602.3000000000001,0.4006138341188196,1.6006136033646177,1.3633516302605004,0.951138225611406,906.914379362561,1200.3386306566622,966.2472610067609,339.7479521838916,501.30536730876645,11.199999994676286,59999.999971480116
602.4000000000001,0.4006135470761333,1.6006134930687699,1.3633516425590813,0.9511385255949945,906.9144084724549,1200.3386414700299,966.2472697110582,339.7480625976906,501.305530226728,11.199999994678393,59999.999971491394
602.5000000000001,0.4006132601667253,1.6006133828422213,1.3633516548486502,0.9511388254358124,906.9144375663988,1200.3386522754656,966.2472784089705,339.74817295894326,501.3056930671563,11.199999994680496,59999.999971502664
