时间,电功率,反应堆功率,气轮机功率,压缩机功率,反应堆入口温度,反应堆出口温度,气轮机出口温度,压缩机入口温度,压缩机出口温度,流量,转速
441.00000000000006,0.4012358879379723,1.600826533951608,1.3633260147536164,0.9504900705612763,906.8523244031603,1200.3161125015135,966.2291350422779,339.50939365038096,500.9533689737877,11.199999988961558,59999.99994086549
441.1000000000001,0.4012352996320724,1.6008263286393163,1.3633260394040336,0.9504906835452057,906.8523838573176,1200.3161341725925,966.2291524863961,339.50961925864493,500.9537018637175,11.199999988966987,59999.99994089457
441.20000000000005,0.40123471161545166,1.6008261234282206,1.3633260640422362,0.9504912962275467,906.8524432821719,1200.3161558329325,966.2291699218698,339.50984475591906,500.95403458987937,11.199999988972413,59999.99994092364
441.30000000000007,0.4012341238894239,1.6008259183182687,1.3633260886682301,0.9504919086085237,906.8525026777361,1200.3161774825396,966.2291873487042,339.51007014228577,500.9543671523949,11.199999988977837,59999.9999409527
441.4000000000001,0.40123353645093746,1.600825713309411,1.3633261132820196,0.950492520688192,906.8525620440271,1200.3161991214185,966.2292047669033,339.5102954177656,500.95469955129425,11.199999988983256,59999.99994098174
441.50000000000006,0.4012329493027611,1.6008255084015999,1.3633261378836172,0.9504931324667982,906.8526213810572,1200.316220749575,966.2292221764706,339.51052058244886,500.9550317867112,11.199999988988678,59999.99994101077
441.6000000000001,0.40123236244184246,1.600825303594783,1.3633261624730204,0.9504937439443972,906.8526806888426,1200.3162423670144,966.2292395774119,339.5107456363563,500.95536385867575,11.19999998899409,59999.99994103978
441.70000000000005,0.40123177587094955,1.6008250988889123,1.3633261870502427,0.9504943551212297,906.8527399673964,1200.316263973742,966.2292569697304,339.5109705795757,500.9556957673178,11.199999988999505,59999.99994106878
441.80000000000007,0.40123118958702947,1.6008248942839367,1.3633262116152858,0.9504949659973515,906.8527992167343,1200.3162855697637,966.2292743534313,339.5111954121286,500.95602751266887,11.199999989004915,59999.99994109776
441.9000000000001,0.4012306035913936,1.6008246897798064,1.3633262361681568,0.9504955765730002,906.8528584368695,1200.3163071550837,966.2292917285178,339.51142013410214,500.95635909485765,11.199999989010323,59999.99994112673
442.00000000000006,0.4012300178838951,1.6008244853764697,1.3633262607088616,0.9504961868482581,906.8529176278167,1200.3163287297084,966.2293090949954,339.51164474552587,500.956690513928,11.199999989015726,59999.99994115568
442.1000000000001,0.4012294324643881,1.6008242810738789,1.3633262852374073,0.9504967968232954,906.8529767895909,1200.3163502936425,966.2293264528673,339.51186924646345,500.9570217699733,11.199999989021128,59999.999941184615
442.20000000000005,0.40122884733418135,1.6008240768719821,1.3633263097538009,0.9504974064982572,906.8530359222068,1200.3163718468925,966.2293438021392,339.51209363696734,500.95735286307155,11.199999989026528,59999.999941213544
442.30000000000007,0.4012282624902228,1.6008238727707325,1.3633263342580455,0.9504980158732935,906.8530950256786,1200.3163933894623,966.229361142814,339.51231791709336,500.95768379330474,11.199999989031925,59999.99994124245
442.4000000000001,0.40122767793527847,1.6008236687700803,1.3633263587501492,0.9504986249485537,906.8531541000207,1200.3164149213583,966.229378474897,339.5125420868963,500.9580145607537,11.199999989037318,59999.99994127135
