时间,电功率,反应堆功率,气轮机功率,压缩机功率,反应堆入口温度,反应堆出口温度,气轮机出口温度,压缩机入口温度,压缩机出口温度,流量,转速
1900.0,0.4000404112569889,1.6004095940820482,1.3633759709463986,0.9517355576264177,906.9730474747265,1200.3600302363072,966.2644865857602,339.967813680693,501.6297777589507,11.199999999988732,59999.99999993964
1900.1,0.40004041070497126,1.6004095939327554,1.3633759709641842,0.9517355581972066,906.9730475254325,1200.360030251927,966.2644865983332,339.9678138907902,501.6297780689538,11.199999999988737,59999.99999993967
1900.2,0.4000404101532397,1.6004095937835194,1.363375970981964,0.9517355587677029,906.9730475761147,1200.3600302675416,966.2644866109019,339.9678141007797,501.62977837879794,11.199999999988743,59999.99999993969
1900.3,0.40004040960179427,1.6004095936343403,1.3633759709997375,0.9517355593379067,906.973047626773,1200.3600302831508,966.2644866234664,339.9678143106616,501.62977868848316,11.199999999988748,59999.99999993972
1900.4,0.40004040905063487,1.6004095934852176,1.363375971017505,0.9517355599078178,906.9730476774075,1200.3600302987545,966.2644866360266,339.96781452043575,501.62977899800956,11.199999999988753,59999.99999993975
1900.5,0.40004040849976163,1.6004095933361515,1.3633759710352666,0.9517355604774363,906.9730477280182,1200.3600303143533,966.2644866485826,339.9678147301022,501.62977930737696,11.199999999988757,59999.99999993978
1900.6,0.4000404079491745,1.6004095931871416,1.3633759710530222,0.9517355610467623,906.9730477786051,1200.3600303299468,966.2644866611345,339.96781493966097,501.6297796165855,11.199999999988762,59999.9999999398
1900.7,0.4000404073988736,1.6004095930381879,1.3633759710707718,0.9517355616157956,906.9730478291682,1200.3600303455348,966.2644866736821,339.967815149112,501.62977992563515,11.199999999988767,59999.99999993983
1900.8,0.40004040684885883,1.6004095928892903,1.3633759710885156,0.9517355621845364,906.9730478797076,1200.3600303611179,966.2644866862255,339.96781535845537,501.6297802345258,11.199999999988773,59999.99999993986
1900.9,0.4000404062991303,1.6004095927404485,1.3633759711062534,0.9517355627529845,906.9730479302232,1200.3600303766957,966.2644866987647,339.96781556769105,501.62978054325765,11.199999999988778,59999.99999993988
1901.0,0.40004040574968797,1.6004095925916626,1.3633759711239852,0.9517355633211401,906.973047980715,1200.3600303922685,966.2644867112998,339.967815776819,501.6297808518305,11.199999999988783,59999.99999993991
1901.1,0.40004040520053186,1.6004095924429322,1.3633759711417113,0.951735563889003,906.9730480311831,1200.360030407836,966.2644867238307,339.96781598583925,501.6297811602445,11.199999999988787,59999.99999993994
1901.2,0.4000404046516621,1.6004095922942574,1.3633759711594313,0.9517355644565735,906.9730480816274,1200.3600304233983,966.2644867363575,339.9678161947518,501.6297814684995,11.199999999988792,59999.99999993996
1901.3,0.40004040410307856,1.6004095921456378,1.3633759711771456,0.9517355650238511,906.9730481320481,1200.3600304389556,966.2644867488801,339.96781640355664,501.6297817765956,11.199999999988798,59999.99999993999
1901.4,0.4000404035547814,1.6004095919970733,1.363375971194854,0.9517355655908363,906.973048182445,1200.3600304545078,966.2644867613986,339.9678166122538,501.6297820845328,11.199999999988803,59999.99999994002
1901.5,0.4000404030067705,1.6004095918485641,1.3633759712125568,0.9517355661575287,906.9730482328183,1200.3600304700547,966.2644867739132,339.9678168208432,501.6297823923111,11.199999999988808,59999.99999994004
1901.6,0.400040402459046,1.6004095917001098,1.3633759712302536,0.9517355667239287,906.9730482831679,1200.3600304855968,966.2644867864235,339.9678170293249,501.6297826999304,11.199999999988812,59999.99999994007
1901.7,0.4000404019116079,1.60040959155171,1.3633759712479447,0.9517355672900359,906.9730483334939,1200.3600305011337,966.2644867989297,339.9678172376989,501.6297830073908,11.199999999988817,59999.9999999401
1901.8,0.4000404013644561,1.6004095914033651,1.36337597126563,0.9517355678558506,906.9730483837963,1200.3600305166656,966.264486811432,339.9678174459652,501.6297833146923,11.199999999988822,59999.999999940126
1901.9,0.40004040081759085,1.6004095912550746,1.3633759712833096,0.9517355684213725,906.9730484340748,1200.3600305321922,966.2644868239302,339.9678176541238,501.6297836218348,11.199999999988828,59999.99999994015
1902.0,0.40004040027101195,1.6004095911068386,1.3633759713009834,0.9517355689866018,906.9730484843299,1200.3600305477141,966.2644868364243,339.9678178621747,501.6297839288184,11.199999999988833,59999.99999994018
1902.1,0.40004039972471955,1.6004095909586566,1.3633759713186515,0.9517355695515386,906.9730485345614,1200.3600305632308,966.2644868489144,339.9678180701178,501.6297842356431,11.199999999988838,59999.999999940206
1902.2,0.4000403991787136,1.600409590810529,1.363375971336314,0.9517355701161827,906.9730485847692,1200.3600305787427,966.2644868614005,339.96781827795326,501.6297845423088,11.199999999988842,59999.99999994023
1902.3,0.4000403986329942,1.6004095906624551,1.3633759713539708,0.951735570680534,906.9730486349534,1200.3600305942496,966.2644868738826,339.96781848568094,501.62978484881563,11.199999999988847,59999.99999994026
1902.4,0.40004039808756126,1.600409590514435,1.3633759713716218,0.9517355712445928,906.9730486851141,1200.3600306097514,966.2644868863607,339.96781869330096,501.62978515516346,11.199999999988853,59999.999999940286
1902.5,0.4000403975424149,1.6004095903664688,1.3633759713892672,0.951735571808359,906.9730487352513,1200.3600306252483,966.2644868988349,339.96781890081326,501.62978546135236,11.199999999988858,59999.99999994031
1902.6,0.4000403969975551,1.600409590218556,1.3633759714069071,0.9517355723718325,906.9730487853649,1200.3600306407404,966.264486911305,339.9678191082178,501.6297857673823,11.199999999988863,59999.99999994034
